Title,Year,Rating,Votes,Synopsis,Runtime
Tomb of the River,2021,5.8,590.0,"Gil-seok runs Gangneung's largest underground gang. Min-seok who is a gang boss from Seoul, who was aiming for the ownership of the largest resort in Gangneung, appears before him. Two men who values peace and loyality and lives in an orderly manner; as they begin to move in earnest, an uncontrollable war begins between their two organizations. The story of two men facing a rough fate begins.",1h 59m
Chakra,2021,6.3,5300.0,A soldier and a police officer join forces to bring down a cyber hacker.,2h 11m
Annabelle Sethupathi,2021,3.7,2600.0,"Rudra, a small-time burglar gets into a palace full of ghosts. Along with the ghost, she finds out the mystery about the owner of the palace- Annabelle Sethupathi.",2h 15m
Sivakumarin Sabadham,2021,4.8,1100.0,A young man from a weaving family vows to restore it to its past glory by taking on a textile magnate.,2h 17m
Dynamite,2021,4.8,2100.0,Moving two young students to a building with different neighbors poses challenges and problems for them.,1h 30m
Wild Dog,2021,6.1,2500.0,A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.,2h 25m
Dybbuk: The Curse Is Real,2021,5.1,3100.0,"Newly married couple Mahi and Sam acquire an antique Jewish box, unleashing paranormal events. They discover it contains an evil spirit and seek a rabbi's help before their child's birth.",1h 52m
Monster in the Shadows,2021,6.7,605.0,"A true crime documentary about one of Alabama's most horrifying cases. Involving an incestuous family, a sex trafficking ring and the unsolved disappearance of a young mother.",2h 16m
SR Kalyanamandapam,2021,5.7,1200.0,A young man tries to repair his relationship with his father while falling in love.,2h 40m
Zátopek,2021,7.2,733.0,"Autumn 1968, the Australian running record holder Ron Clarke is coming to Prague, hoping that his old friend and role model, Emil Zátopek, the most famous Czech athlete of all time, will help him overcome the biggest crisis of his career.",2h 11m
A Radiant Girl,2021,6.1,504.0,"Paris, summer 1942. Irene is Jewish and French. She is 19 and living a life of passions - Her friendships, her new love, her desire to be an actress - Nothing suggests that Irene's time is running out.",1h 38m
Street Gang: How We Got to Sesame Street,2021,8.0,1400.0,"Take a stroll down Sesame Street and witness the birth of the most impactful children's series in TV history. From the iconic furry characters to the songs you know by heart, learn how a gang of visionary creators changed our world.",1h 47m
Creatures,2021,3.6,1400.0,A group of astronomy students get more than they bargained for after finding an injured alien who is being targeted by a group of bloodthirsty CREATURES!.,1h 43m
Plaza Catedral,2021,6.7,639.0,"The 42-year-old Alicia is a grief-stricken woman, a grief that has caused her to be estranged from society. Her world is turned upside down when a 14-year-old boy who looks after people's cars, stumbles into her house, bleeding.",1h 34m
A Nuvem Rosa,2021,6.0,996.0,"After a toxic and mysterious pink cloud appeared, Giovana finds herself stuck in a flat with a man she just met, changing her life in a way she never expected.",1h 45m
Ahed's Knee,2021,6.3,1500.0,"An Israeli filmmaker throws himself in the midst of two battles doomed to fail: one against the death of freedom, the other against the death of a mother.",1h 49m
